"direction","fromAltName","interaction","name","selected","shared interaction","shared name","toAltName","weight"
"undirected",,"interacts with","C9orf78 (interacts with) DOCK9","false","interacts with","C9orf78 (interacts with) DOCK9",,"0.521360164636703"
"undirected",,"interacts with","MAPKAPK3 (interacts with) RTN3","false","interacts with","MAPKAPK3 (interacts with) RTN3",,"0.554238701835847"
"undirected",,"interacts with","CASP4 (interacts with) ICAM3","false","interacts with","CASP4 (interacts with) ICAM3",,"0.530102047413407"
"undirected",,"interacts with","BSG (interacts with) MFSD5","false","interacts with","BSG (interacts with) MFSD5",,"0.527154925798581"
"undirected",,"interacts with","ATOX1 (interacts with) EXTL3","false","interacts with","ATOX1 (interacts with) EXTL3",,"0.54252074783197"
"undirected",,"interacts with","BAD (interacts with) SGSM2","false","interacts with","BAD (interacts with) SGSM2",,"0.510298864865808"
"undirected",,"interacts with","ATF7IP (interacts with) CSK","false","interacts with","ATF7IP (interacts with) CSK",,"0.504980528236462"
"undirected",,"interacts with","ELOB (interacts with) KAT5","false","interacts with","ELOB (interacts with) KAT5",,"0.56004810185683"
"undirected",,"interacts with","CALHM2 (interacts with) ILRUN","false","interacts with","CALHM2 (interacts with) ILRUN",,"0.515769638643835"
"undirected",,"interacts with","DOCK9 (interacts with) ILRUN","false","interacts with","DOCK9 (interacts with) ILRUN",,"0.549809258478811"
"undirected",,"interacts with","CDV3 (interacts with) PTMS","false","interacts with","CDV3 (interacts with) PTMS",,"0.539179530254647"
"undirected",,"interacts with","COTL1 (interacts with) PSMB7","false","interacts with","COTL1 (interacts with) PSMB7",,"0.504976837500322"
"undirected",,"interacts with","C9orf78 (interacts with) IGF2R","false","interacts with","C9orf78 (interacts with) IGF2R",,"0.524194617317083"
"undirected",,"interacts with","CALHM2 (interacts with) MSC","false","interacts with","CALHM2 (interacts with) MSC",,"0.539176977089217"
"undirected",,"interacts with","COMMD8 (interacts with) SRP9","false","interacts with","COMMD8 (interacts with) SRP9",,"0.52715094672557"
"undirected",,"interacts with","BRK1 (interacts with) PSMD8","false","interacts with","BRK1 (interacts with) PSMD8",,"0.546008190954456"
"undirected",,"interacts with","SZRD1 (interacts with) TADA3","false","interacts with","SZRD1 (interacts with) TADA3",,"0.530093806155859"
"undirected",,"interacts with","HMGN4 (interacts with) NDUFB7","false","interacts with","HMGN4 (interacts with) NDUFB7",,"0.515764568037556"
"undirected",,"interacts with","SMAD2 (interacts with) ZNF80","false","interacts with","SMAD2 (interacts with) ZNF80",,"0.539173100462408"
"undirected",,"interacts with","RASGEF1A (interacts with) WDR81","false","interacts with","RASGEF1A (interacts with) WDR81",,"0.524192950744055"
"undirected",,"interacts with","COPS9 (interacts with) TADA3","false","interacts with","COPS9 (interacts with) TADA3",,"0.536046763817481"
"undirected",,"interacts with","EMC10 (interacts with) PTPN6","false","interacts with","EMC10 (interacts with) PTPN6",,"0.549799282923668"
"undirected",,"interacts with","ACTN4 (interacts with) RGL2","false","interacts with","ACTN4 (interacts with) RGL2",,"0.560030375620098"
"undirected",,"interacts with","NDUFB7 (interacts with) PLEKHJ1","false","interacts with","NDUFB7 (interacts with) PLEKHJ1",,"0.54979888416426"
"undirected",,"interacts with","FCRL6 (interacts with) PJA2","false","interacts with","FCRL6 (interacts with) PJA2",,"0.54979781690368"
"undirected",,"interacts with","FGR (interacts with) SRP9","false","interacts with","FGR (interacts with) SRP9",,"0.554220985002252"
"undirected",,"interacts with","GTF3C1 (interacts with) MSC","false","interacts with","GTF3C1 (interacts with) MSC",,"0.539166022610918"
"undirected",,"interacts with","CDKN2AIPNL (interacts with) SIGLEC17P","false","interacts with","CDKN2AIPNL (interacts with) SIGLEC17P",,"0.521345348484284"
"undirected",,"interacts with","MRPL20-AS1 (interacts with) ZNF274","false","interacts with","MRPL20-AS1 (interacts with) ZNF274",,"0.546003220396142"
"undirected",,"interacts with","C9orf78 (interacts with) COMMD7","false","interacts with","C9orf78 (interacts with) COMMD7",,"0.512891828389678"
"undirected",,"interacts with","EML2-AS1 (interacts with) PPP1CA","false","interacts with","EML2-AS1 (interacts with) PPP1CA",,"0.560027351679543"
"undirected",,"interacts with","CDKN2AIPNL (interacts with) PPP1CA","false","interacts with","CDKN2AIPNL (interacts with) PPP1CA",,"0.554217314713925"
"undirected",,"interacts with","COMMD8 (interacts with) LPAR6","false","interacts with","COMMD8 (interacts with) LPAR6",,"0.542497717204912"
"undirected",,"interacts with","PLEKHJ1 (interacts with) RRAS2","false","interacts with","PLEKHJ1 (interacts with) RRAS2",,"0.554216134282092"
"undirected",,"interacts with","EXTL3 (interacts with) RGS3","false","interacts with","EXTL3 (interacts with) RGS3",,"0.530087807606141"
"undirected",,"interacts with","MAPKAPK3 (interacts with) UBE2L3","false","interacts with","MAPKAPK3 (interacts with) UBE2L3",,"0.549788574238201"
"undirected",,"interacts with","CDV3 (interacts with) ZNF513","false","interacts with","CDV3 (interacts with) ZNF513",,"0.502224547024804"
"undirected",,"interacts with","B4GALT5 (interacts with) PLEKHJ1","false","interacts with","B4GALT5 (interacts with) PLEKHJ1",,"0.554210721601749"
"undirected",,"interacts with","GSTP1 (interacts with) PSMD8","false","interacts with","GSTP1 (interacts with) PSMD8",,"0.560011624074068"
"undirected",,"interacts with","DUSP22 (interacts with) PTMS","false","interacts with","DUSP22 (interacts with) PTMS",,"0.54249290777356"
"undirected",,"interacts with","MOB1A (interacts with) ZEB2","false","interacts with","MOB1A (interacts with) ZEB2",,"0.512884532859767"
"undirected",,"interacts with","COPS9 (interacts with) PLEKHG3","false","interacts with","COPS9 (interacts with) PLEKHG3",,"0.533048253950369"
"undirected",,"interacts with","HMGN4 (interacts with) MATK","false","interacts with","HMGN4 (interacts with) MATK",,"0.549775143347758"
"undirected",,"interacts with","UBE2E3 (interacts with) WDR13","false","interacts with","UBE2E3 (interacts with) WDR13",,"0.507551016917335"
"undirected",,"interacts with","ARL5A (interacts with) MRGBP","false","interacts with","ARL5A (interacts with) MRGBP",,"0.542488725723942"
"undirected",,"interacts with","EMC10 (interacts with) ING4","false","interacts with","EMC10 (interacts with) ING4",,"0.539153651970214"
"undirected",,"interacts with","MAD2L2 (interacts with) VOPP1","false","interacts with","MAD2L2 (interacts with) VOPP1",,"0.518473271808625"
